source_year,abgeurteilte,verurteilte,verurteilungsquote,verurteilungsquote_pct
2022,600062,480028,0.7999640037196156,79.99640037196156
2023,614479,490628,0.798445512377152,79.8445512377152
2024,606975,481819,0.7938036986696322,79.38036986696322
