source_year,Straftat_Gesetz,Art_der_Straftat,abgeurteilte,verurteilte,verurteilungsquote,verurteilungsquote_pct
2024,StGB  ,StGB § 243 Abs. 1 Satz 2 Nrn. 2 bis 7 Diebstahl in anderen besonders schweren Fällen,9688.0,8019.0,0.8277250206440958,82.77250206440958
2024,StGB  ,StGB § 244 Abs. 1 Nr. 1 Diebstahl mit Waffen ,5007.0,4212.0,0.8412222887956861,84.12222887956861
2024,StGB  ,StGB § 244 Abs. 1 Nr. 2 Bandendiebstahl ,207.0,96.0,0.463768115942029,46.3768115942029
2024,StGB  ,StGB § 244 Abs. 1 Nr. 3 Wohnungseinbruchdiebstahl ,547.0,383.0,0.70018281535649,70.018281535649
2024,StGB  ,StGB § 244 Abs. 4 Privatwohnungseinbruchdiebstahl ,1562.0,1330.0,0.8514724711907811,85.1472471190781
2024,StGB  ,StGB § 244 a Schwerer Bandendiebstahl ,602.0,532.0,0.8837209302325582,88.37209302325581
2024,StGB  ,StGB § 246 Unterschlagung ,5016.0,3724.0,0.7424242424242424,74.24242424242425
2024,StGB  ,StGB § 248 b Unbefugter Gebrauch eines Fahrzeugs ,321.0,239.0,0.7445482866043613,74.45482866043614
2024,StGB  ,StGB § 248 c Entziehung elektrischer Energie ,286.0,241.0,0.8426573426573427,84.26573426573427
2024,StGB  ,StGB § 249 Raub ,2271.0,1456.0,0.6411272567151035,64.11272567151035
2024,StGB  ,StGB § 250 Schwerer Raub ,1286.0,943.0,0.7332814930015552,73.32814930015552
2024,StGB  ,StGB § 251 Raub mit Todesfolge ,9.0,9.0,1.0,100.0
2024,StGB  ,StGB § 252 Räuberischer Diebstahl ,1832.0,1409.0,0.7691048034934498,76.91048034934498
2024,StGB  ,StGB § 253 Abs. 1 Erpressung ,812.0,492.0,0.6059113300492611,60.591133004926114
2024,StGB  ,StGB § 253 Abs. 4 Besonders schwerer Fall der Erpressung ,37.0,24.0,0.6486486486486487,64.86486486486487
2024,StGB  ,StGB § 255 Räuberische Erpressung ,3008.0,2231.0,0.741688829787234,74.1688829787234
2024,StGB  ,StGB § 259 Hehlerei ,1765.0,1361.0,0.7711048158640227,77.11048158640227
2024,StGB  ,StGB § 260 Abs. 1 Nr. 1 Gewerbsmäßige Hehlerei ,322.0,262.0,0.8136645962732919,81.36645962732919
2024,StGB  ,StGB § 260 Abs. 1 Nr. 2 Bandenhehlerei ,5.0,4.0,0.8,80.0
2024,StGB  ,StGB § 260 a Gewerbsmäßige Bandenhehlerei ,35.0,20.0,0.5714285714285714,57.14285714285714
2024,StGB  ,StGB § 261 Abs. 1 Geldwäsche ,1832.0,1386.0,0.7565502183406113,75.65502183406113
2024,StGB  ,StGB § 261 Abs. 2 Geldwäsche ,81.0,36.0,0.4444444444444444,44.44444444444444
2024,StGB  ,StGB § 261 Abs. 4 Geldwäsche durch Verpflichtete ,37.0,35.0,0.9459459459459459,94.5945945945946
