source_year,Straftat_Gesetz,Art_der_Straftat,abgeurteilte,verurteilte,verurteilungsquote,verurteilungsquote_pct,freispruch_ohne_massregeln,einstellung_ohne_massregeln,freiheitsstrafe_gesamt,bewaehrung,geldstrafe,verurteilte_deutsche,verurteilte_auslaender,freiheitsstrafe,sonstige,auslaenderquote_verurteilte,auslaenderquote_verurteilte_pct
2024,StGB  ,"StGB 23. Abschnitt, §§ 267 bis 282 Urkundenfälschung ",26004,21807,0.8386017535763729,83.86017535763729,580,3189,2145.0,1665,19095,9501,12306,480,995,0.5643142110331545,56.43142110331545
2024,StGB  ,"StGB 24. Abschnitt, §§ 283 bis 283 d Insolvenzstraftaten ",1186,960,0.8094435075885329,80.94435075885329,11,213,110.0,107,848,686,274,3,4,0.28541666666666665,28.541666666666664
2024,StGB  ,"StGB 25. Abschnitt, §§ 284 bis 297 Strafbarer Eigennutz ",1148,834,0.7264808362369338,72.64808362369338,48,255,35.0,33,794,414,420,2,16,0.5035971223021583,50.35971223021583
2024,StGB  ,"StGB 26. Abschnitt, §§ 298 bis 301 Straftaten gegen den Wettbewerb ",63,38,0.6031746031746031,60.317460317460316,1,24,23.0,23,15,28,10,0,0,0.2631578947368421,26.31578947368421
2024,StGB  ,"StGB 27. Abschnitt, §§ 303 bis 305 a Sachbeschädigung ",13212,9394,0.7110202845897668,71.10202845897669,359,1927,444.0,308,7940,6639,2755,136,2542,0.2932723014690228,29.327230146902277
2024,StGB  ,"StGB 28. Abschnitt, §§ 306 bis 323c, ohne §§ 315 b bis d, ohne §§ 316,316 a und ohne § 323 a i.V.m. Verkehrsunfall Gemeingefährliche Straftaten",2712,2011,0.741519174041298,74.15191740412979,130,294,733.0,397,977,1457,554,336,578,0.27548483341621083,27.548483341621083
2024,StGB  ,"StGB 29. Abschnitt, §§ 324 bis 330 a Straftaten gegen die Umwelt ",1008,737,0.7311507936507936,73.11507936507937,26,240,13.0,10,720,461,276,3,9,0.37449118046132973,37.44911804613297
2024,StGB  ,"StGB 3. Abschnitt, §§ 102 bis 104 a Straftaten gegen ausländische Staaten ",7,4,0.5714285714285714,57.14285714285714,0,0,0.0,0,2,1,3,0,5,0.75,75.0
2024,StGB  ,"StGB 30. Abschnitt, §§ 331 bis 358 Straftaten im Amt ",503,340,0.6759443339960238,67.59443339960238,41,120,109.0,91,230,243,97,18,3,0.2852941176470588,28.52941176470588
2024,StGB  ,"StGB 4. Abschnitt, §§ 105 bis 108 e Straftaten gegen Verfassungsorgane sowie bei Wahlen und Abstimmungen",10,6,0.6,60.0,2,1,1.0,1,5,5,1,0,1,0.16666666666666666,16.666666666666664
2024,StGB  ,"StGB 6. Abschnitt, §§ 111 bis 121 Widerstand gegen die Staatsgewalt ",16716,13847,0.8283680306293372,82.83680306293371,229,2076,3868.0,2952,8918,9154,4693,916,1625,0.33891817722250306,33.89181772225031
2024,StGB  ,"StGB 8. Abschnitt, §§ 146 bis 152 c Geld- und Wertzeichenfälschung ",495,377,0.7616161616161616,76.16161616161617,38,44,197.0,153,85,228,149,44,131,0.3952254641909814,39.52254641909814
2024,StGB  ,"StGB 9. Abschnitt, §§ 153 bis 162 Falsche uneidliche Aussage und Meineid ",2781,1901,0.6835670622078389,68.35670622078389,155,603,260.0,234,1487,1346,555,26,276,0.291951604418727,29.195160441872698
2024,StGB  ,StGB § 113 Widerstand gegen Vollstreckungsbeamte ,6853,5640,0.8229972274916095,82.29972274916095,80,912,908.0,700,4343,3769,1871,208,610,0.33173758865248226,33.173758865248224
2024,StGB  ,StGB § 114 Tätl. Angriff auf Vollstreckungsbeamte ,9252,7784,0.8413316039775184,84.13316039775184,123,1023,2872.0,2189,4274,5058,2726,683,960,0.3502055498458376,35.02055498458376
2024,StGB  ,"StGB § 115 Abs.1,2 i.V.m. §§ 113, 114 Widerstand gg. o. tätl. Angriff auf Pers., die Vollstreckungsbeamten gleichstehen",230,120,0.5217391304347826,52.17391304347826,13,87,34.0,25,79,89,31,9,17,0.25833333333333336,25.833333333333336
2024,StGB  ,"StGB § 115 Abs.3 i.V.m. §§ 113, 114 Widerstand gg.o.tätl. Angriff a. Hilfeleis. von Feuerwehr, Katast.-schutz o. Rettungsd.",208,174,0.8365384615384616,83.65384615384616,3,27,43.0,31,113,127,47,12,22,0.27011494252873564,27.011494252873565
2024,StGB  ,StGB § 120 Gefangenenbefreiung ,25,10,0.4,40.0,3,10,1.0,1,7,6,4,0,4,0.4,40.0
2024,StGB  ,StGB § 121 Gefangenenmeuterei ,9,4,0.4444444444444444,44.44444444444444,2,3,2.0,0,0,1,3,2,2,0.75,75.0
2024,StGB  ,StGB § 125 Landfriedensbruch ,195,121,0.6205128205128205,62.05128205128205,12,53,5.0,5,107,104,17,0,18,0.14049586776859505,14.049586776859504
2024,StGB  ,StGB § 125 a Besonders schwerer Fall des Landfriedensbruchs,67,51,0.7611940298507462,76.11940298507463,3,5,46.0,46,0,24,27,0,13,0.5294117647058824,52.94117647058824
2024,StGB  ,StGB § 126 a Gefährdendes Verbreiten personenbezogener Daten,10,8,0.8,80.0,1,1,0.0,0,8,8,0,0,0,0.0,0.0
2024,StGB  ,StGB § 127 Betreiben krimineller Handelsplattformen im Internet,4,4,1.0,100.0,0,0,3.0,2,1,2,2,1,0,0.5,50.0
2024,StGB  ,StGB § 128 Bildung bewaffneter Gruppen ,3,3,1.0,100.0,0,0,2.0,0,0,1,2,2,1,0.6666666666666666,66.66666666666666
2024,StGB  ,StGB § 129 Bildung krimineller Vereinigungen ,20,17,0.85,85.0,0,2,17.0,7,0,6,11,10,1,0.6470588235294118,64.70588235294117
2024,StGB  ,StGB § 129 a Bildung terroristischer Vereinigungen ,26,26,1.0,100.0,0,0,25.0,8,0,8,18,17,1,0.6923076923076923,69.23076923076923
2024,StGB  ,StGB § 129 b i.V.m. § 129 a Bildung terroristischer Vereinigungen im Ausland,5,5,1.0,100.0,0,0,3.0,2,0,2,3,1,2,0.6,60.0
