source_year,abgeurteilte,verurteilte,verurteilungsquote,verurteilungsquote_pct
2022,791090,647374,0.8183316689630763,81.83316689630763
2023,804410,656901,0.8166246068547134,81.66246068547134
2024,781610,632115,0.8087345351262138,80.87345351262138
